01033	Cheese, parmesan, hard	Ser Parmezan, twardy	package (5 oz)	35902	paczka (140 gram)
01036	Cheese, ricotta, whole milk	Ser Ricotta, pe³nomleczny	gram	35903	gram
01036	Cheese, ricotta, whole milk	Ser Ricotta, pe³nomleczny	cup	35904	szklanka
01036	Cheese, ricotta, whole milk	Ser Ricotta, pe³nomleczny	cup	35905	szklanka
01037	Cheese, ricotta, part skim milk	Ser Ricotta, chudy	gram	35906	gram
01037	Cheese, ricotta, part skim milk	Ser Ricotta, chudy	cup	35907	szklanka
01037	Cheese, ricotta, part skim milk	Ser Ricotta, chudy	oz	35908	uncja (28 gram)
01037	Cheese, ricotta, part skim milk	Ser Ricotta, chudy	cup	35909	szklanka
01039	Cheese, roquefort	Ser Roquefort	gram	35910	gram
01039	Cheese, roquefort	Ser Roquefort	oz	35911	uncja (28 gram)
01039	Cheese, roquefort	Ser Roquefort	package (3 oz)	35912	paczka (85 gram)
01040	Cheese, swiss	Ser, szwajcarski	gram	35913	gram
01040	Cheese, swiss	Ser, szwajcarski	cup, diced	35914	szklanka, pokrojony w kostkê
01040	Cheese, swiss	Ser, szwajcarski	cup, melted	35915	szklanka, topiony
01040	Cheese, swiss	Ser, szwajcarski	cup, shredded	35916	szklanka, posiekany
01040	Cheese, swiss	Ser, szwajcarski	oz	35917	uncja (28 gram)
01040	Cheese, swiss	Ser, szwajcarski	cubic inch	35918	cal szeœcienny
01040	Cheese, swiss	Ser, szwajcarski	slice (1 oz)	35919	plaster (28 g)
01049	Cream, fluid, half and half	Œmietana, pó³ na pó³	gram	35920	gram
01049	Cream, fluid, half and half	Œmietana, pó³ na pó³	fl oz	35921	uncja cieczy (60 ml)
01049	Cream, fluid, half and half	Œmietana, pó³ na pó³	tbsp	35922	³y¿ka
01049	Cream, fluid, half and half	Œmietana, pó³ na pó³	cup	35923	szklanka
01049	Cream, fluid, half and half	Œmietana, pó³ na pó³	container, individual (.5 fl oz)	35924	miarka (30 ml)
01050	Cream, fluid, light (coffee cream or table cream)	Œmietana do kawy	fl oz	35926	uncja cieczy (60 ml)
01050	Cream, fluid, light (coffee cream or table cream)	Œmietana do kawy	tbsp	35927	³y¿ka
01050	Cream, fluid, light (coffee cream or table cream)	Œmietana do kawy	cup	35928	szklanka
01050	Cream, fluid, light (coffee cream or table cream)	Œmietana do kawy	container, individual	35929	miarka (30 ml)
01050	Cream, fluid, light (coffee cream or table cream)	Œmietana, pó³ na pó³	gram	35925	gram
01052	Cream, fluid, light whipping	Bita œmietana, light	gram	35930	gram
01052	Cream, fluid, light whipping	Bita œmietana, light	cup, whipped	35931	szklanka
01052	Cream, fluid, light whipping	Bita œmietana, light	cup, fluid (yields 2 cups whipped)	35932	p³ynna
01052	Cream, fluid, light whipping	Bita œmietana, light	tbsp	35933	³y¿ka
